


"[37.0833893, -88.6000478]"
"[28.5383355, -81.3792365]"
"[40.3977612, -105.0749801]"

"[46.7323875, -117.0001651]"
"[37.6456329, -84.7721702]"
"[47.9789848, -122.2020794]"
"[47.9789848, -122.2020794]"
"[47.9789848, -122.2020794]"
"[28.5383355, -81.3792365]"
"[35.0526641, -78.8783585]"
"[33.1506744, -96.8236116]"
"[34.769536, -92.2670941]"
"[42.9541963, -85.4889121]"
"[36.1658899, -86.7844432]"
"[28.3252878, -81.5331286]"
"[28.3252878, -81.5331286]"
"[28.3252878, -81.5331286]"
"[36.3320197, -94.1185366]"
"[28.3252878, -81.5331286]"
"[46.4165506, -117.0176569]"
"[35.233375, -106.6644716]"
"[34.4480495, -119.242889]"
"[39.7391536, -104.9847034]"
"[43.4799291, -110.7624282]"
"[35.233375, -106.6644716]"
